Nt,J,lr,loss_mean,loss_std,price_mean,price_std,alg,recall,precision,f_beta,tests_num,corr,machine_selec_conf,baseline_items,total_items
5,3,5,0.09571999999999999,0.0709929686659179,0.0,0.0,Machines-Ensemble,0.9635449366701141,0.9790337771416646,0.9660767081788777,50,0.0,0.95,20,1000
5,3,5,0.03784,0.023419957301412827,2.8371200000000005,0.46847312153420284,Hybrid-Ensemble,0.9928155819478733,0.9904793597202513,0.9924187580393162,50,0.0,0.95,20,1000
5,3,5,0.08023999999999999,0.04435338093088283,6.411780000000001,0.616982180942043,Crowd-Ensemble,0.9639062158402285,0.9838522952477485,0.9667883898960742,50,0.0,0.95,20,1000
5,3,5,0.20622,0.10164138723964761,0.0,0.0,Machines-Ensemble,0.9387555679618229,0.9518447460226838,0.9408887911216294,50,0.1,0.95,20,1000
5,3,5,0.04880000000000001,0.025183327818221326,3.01302,0.4014786913399016,Hybrid-Ensemble,0.9872724786082451,0.9884550022541657,0.9874629069945376,50,0.1,0.95,20,1000
5,3,5,0.08683999999999999,0.04332590910759981,6.22338,0.6756422985574542,Crowd-Ensemble,0.9564535079846764,0.9833678173655229,0.9605460290899329,50,0.1,0.95,20,1000
5,3,5,0.3409,0.12370242519853844,0.0,0.0,Machines-Ensemble,0.927269207907138,0.9168195631764648,0.9254790897192261,50,0.2,0.95,20,1000
5,3,5,0.06467999999999999,0.025194793112863618,3.30082,0.502372956676611,Hybrid-Ensemble,0.9801939240506167,0.9851762276403355,0.9810008096290123,50,0.2,0.95,20,1000
5,3,5,0.08582,0.047232484584235034,6.25642,0.7231303088655598,Crowd-Ensemble,0.9577331699478056,0.9833243920808756,0.9615165174735251,50,0.2,0.95,20,1000
5,3,5,0.53234,0.16525769089515924,0.0,0.0,Machines-Ensemble,0.9112839295089837,0.8704205571929015,0.904135233527883,50,0.3,0.95,20,1000
5,3,5,0.07436000000000001,0.029561975576743855,3.3978,0.5342758463565428,Hybrid-Ensemble,0.9651450923768968,0.9852565724870043,0.9684085459387525,50,0.3,0.95,20,1000
5,3,5,0.08081999999999999,0.04287269060835814,6.270160000000001,0.638026217643131,Crowd-Ensemble,0.9638079776509109,0.9835991902953565,0.9667351745066723,50,0.3,0.95,20,1000
5,3,5,0.6114999999999999,0.18204419793006313,0.0,0.0,Machines-Ensemble,0.9194885197572156,0.8516016066335684,0.907312229172125,50,0.4,0.95,20,1000
5,3,5,0.07343999999999999,0.02430980049280537,3.5977600000000005,0.6324707917366619,Hybrid-Ensemble,0.9547799276283268,0.9874134907194599,0.9600136498044263,50,0.4,0.95,20,1000
5,3,5,0.08314,0.04102633788190216,6.3199000000000005,0.5981255135838965,Crowd-Ensemble,0.9604839767185617,0.983506285001038,0.9639923986947352,50,0.4,0.95,20,1000
5,3,5,0.7916000000000001,0.21071070214870433,0.0,0.0,Machines-Ensemble,0.9126931132831706,0.8123266349777625,0.8940768056620899,50,0.5,0.95,20,1000
5,3,5,0.09121999999999998,0.02666555080998703,3.84024,0.5591901129311928,Hybrid-Ensemble,0.9268492350180442,0.9873710910699208,0.9362547614031329,50,0.5,0.95,20,1000
5,3,5,0.07394,0.03967589192444197,6.294179999999999,0.6479570569104097,Crowd-Ensemble,0.9605642675457274,0.9860713477509386,0.9644806144704411,50,0.5,0.95,20,1000
5,3,5,0.8295999999999999,0.24254706759719855,0.0,0.0,Machines-Ensemble,0.9172846077466891,0.8066956962345345,0.8965470967195643,50,0.6,0.95,20,1000
5,3,5,0.10206,0.03305111798411667,4.05044,0.8021559738604457,Hybrid-Ensemble,0.9213173212427761,0.9854417834494216,0.9311651977826877,50,0.6,0.95,20,1000
5,3,5,0.08873999999999999,0.04312484666639407,6.183400000000001,0.5810379333571949,Crowd-Ensemble,0.9670315987325993,0.9808922556611458,0.9691605177749176,50,0.6,0.95,20,1000
5,3,5,0.94458,0.2886335455209598,0.0,0.0,Machines-Ensemble,0.9220009207240496,0.7847645013359658,0.8954390711151997,50,0.7,0.95,20,1000
5,3,5,0.11648,0.04499788439471349,4.354699999999999,0.8757419768402106,Hybrid-Ensemble,0.8910959571057098,0.9868369054501458,0.9052873467577116,50,0.7,0.95,20,1000
5,3,5,0.08454,0.04030047642398288,6.273080000000001,0.5833631404194132,Crowd-Ensemble,0.9636786021244707,0.9826957723271296,0.9664130225455893,50,0.7,0.95,20,1000
5,3,5,1.0014199999999998,0.30879320523612563,0.0,0.0,Machines-Ensemble,0.9251270702578286,0.7739133200709971,0.8952624013655225,50,0.8,0.95,20,1000
5,3,5,0.12365999999999999,0.05107430273630762,4.7960400000000005,1.0173602304002256,Hybrid-Ensemble,0.895041472412167,0.9836639731030624,0.907978905224507,50,0.8,0.95,20,1000
5,3,5,0.07394,0.0340525535019035,6.419740000000001,0.6268111297671732,Crowd-Ensemble,0.9621175891582452,0.9858767694802809,0.9657660378677718,50,0.8,0.95,20,1000
5,3,5,1.04678,0.2610801631683265,0.0,0.0,Machines-Ensemble,0.9260398509770821,0.7645337011646796,0.8941132699919889,50,0.9,0.95,20,1000
5,3,5,0.13845999999999997,0.06397631124095855,5.010879999999999,0.897966427880241,Hybrid-Ensemble,0.875715444540574,0.9826005290774905,0.8909780301137592,50,0.9,0.95,20,1000
5,3,5,0.08193999999999999,0.046419999999999996,6.30072,0.7109155516655968,Crowd-Ensemble,0.9562661207349521,0.984578749895928,0.9606442117098196,50,0.9,0.95,20,1000
