Nt,J,lr,loss_mean,loss_std,FPR,TPR,price_mean,price_std,alg,recall,precision,f_beta
1,3,5,0.907466666667,0.061577990296,0.513272084895,0.825111919854,12.3,0.0,Baseline,0.825111919854,0.784544445628,0.81800463465
1,3,5,0.662,0.0557291066978,0.31994120941,0.753606452352,9.468,0.139989999643,M-runs,0.753606452352,0.841996444865,0.766862232516
1,3,5,0.417733333333,0.0594832936397,0.15608968841,0.742586366147,11.9290333333,0.803428797232,SM-runs,0.742586366147,0.916288947952,0.766349822846
1,5,5,0.7353,0.0561421707216,0.403297139223,0.829130984771,20.5,0.0,Baseline,0.829130984771,0.82365138562,0.828146962691
1,5,5,0.568566666667,0.0499644429125,0.281029598314,0.79905529195,15.7648333333,0.18944868845,M-runs,0.79905529195,0.866176497596,0.809445439654
1,5,5,0.3678,0.0413895316878,0.100162347578,0.690250131699,12.2278,0.946741407848,SM-runs,0.690250131699,0.940593391376,0.721959373171
1,10,5,0.642,0.0516778482524,0.345379216197,0.851648302083,41.0,0.0,Baseline,0.851648302083,0.844316234884,0.850370874897
1,10,5,0.5139,0.0387911931586,0.254592738714,0.831157478081,32.4063333333,0.351401795986,M-runs,0.831157478081,0.877768735695,0.83854381374
1,10,5,0.335666666667,0.0396134096263,0.0565261225099,0.640351655794,13.0547333333,1.86699028623,SM-runs,0.640351655794,0.961930153393,0.677399901729
2,3,5,0.789433333333,0.059875806652,0.437212091049,0.831078338514,12.6,0.0,Baseline,0.831078338514,0.810553740895,0.827528570025
2,3,5,0.6081,0.0553084381748,0.292684045904,0.773032756079,9.7097,0.116170607298,M-runs,0.773032756079,0.8558387522,0.785581501728
2,3,5,0.388266666667,0.0609141107535,0.144840383745,0.759964448165,10.5041666667,0.903805439363,SM-runs,0.759964448165,0.923393592399,0.782646726518
2,5,5,0.694366666667,0.0564561678552,0.374269164398,0.834790162932,21.0,0.0,Baseline,0.834790162932,0.832300761029,0.834331621386
2,5,5,0.5218,0.0529656492455,0.247310970955,0.800251619549,16.432,0.142913726889,M-runs,0.800251619549,0.877912887959,0.812190458282
2,5,5,0.324933333333,0.042242106429,0.0860423362836,0.722439529245,10.7620333333,0.689641282761,SM-runs,0.722439529245,0.949663795444,0.752277192874
2,10,5,0.612466666667,0.0445179614188,0.329082885654,0.861623808197,42.0,0.0,Baseline,0.861623808197,0.850767307162,0.859761155829
2,10,5,0.521033333333,0.0405359785321,0.258405333957,0.833320223787,33.3283333333,0.394504612,M-runs,0.833320223787,0.875333394324,0.839977829444
2,10,5,0.294033333333,0.0281773944068,0.0586040256507,0.704568976762,11.7344,1.73006908533,SM-runs,0.704568976762,0.963862958415,0.737440736676
3,3,5,0.7612,0.0501400704693,0.419788779208,0.836220040894,12.9,0.0,Baseline,0.836220040894,0.816862919398,0.832901000537
3,3,5,0.576633333333,0.0557760302958,0.279139508565,0.788813326195,9.9572,0.0889739287657,M-runs,0.788813326195,0.863801548792,0.800310477478
3,3,5,0.3933,0.0786066791055,0.158874149003,0.783290548052,10.8562666667,0.868402054862,SM-runs,0.783290548052,0.9191670932,0.802529793051
3,5,5,0.676366666667,0.0471497496164,0.368513530287,0.845603223252,21.5,0.0,Baseline,0.845603223252,0.836806382527,0.844083004269
3,5,5,0.509733333333,0.0414937210779,0.238472369689,0.795909941616,16.922,0.165914636686,M-runs,0.795909941616,0.88184973475,0.808970126267
3,5,5,0.3054,0.0252488943652,0.0762083300855,0.728823210186,10.3874,0.697422808154,SM-runs,0.728823210186,0.95530957535,0.758730321012
3,10,5,0.6175,0.0425478162385,0.338873641978,0.865549382461,43.0,0.0,Baseline,0.865549382461,0.850545375264,0.862980456043
3,10,5,0.507766666667,0.0528833202017,0.253129899373,0.832551609,34.1876666667,0.409395353608,M-runs,0.832551609,0.880029449718,0.840028842088
3,10,5,0.284333333333,0.0305399556137,0.0549437697772,0.710968040791,11.1072333333,1.83768538626,SM-runs,0.710968040791,0.966945342641,0.743546910858
4,3,5,0.739666666667,0.0546591458241,0.411462377117,0.843653372471,13.2,0.0,Baseline,0.843653372471,0.822388087241,0.839977306899
4,3,5,0.527566666667,0.0511283895915,0.244782132801,0.782382808172,10.2658,0.114260054262,M-runs,0.782382808172,0.878244891605,0.796718972702
4,3,5,0.402033333333,0.0610204792581,0.163385584023,0.782271702099,10.6940666667,0.818247800011,SM-runs,0.782271702099,0.916078381762,0.801319234871
4,5,5,0.672866666667,0.047447327521,0.368852653769,0.847569891016,22.0,0.0,Baseline,0.847569891016,0.837971361961,0.845913879475
4,5,5,0.495033333333,0.041079989722,0.230995047284,0.798652417015,17.3885,0.174394906271,M-runs,0.798652417015,0.886046311371,0.811940253396
4,5,5,0.319133333333,0.0503154935272,0.091304875215,0.742178381845,10.4631,0.803144542823,SM-runs,0.742178381845,0.948540218562,0.769934052351
4,10,5,0.6198,0.0501201223728,0.338196416452,0.858893068761,44.0,0.0,Baseline,0.858893068761,0.850377633916,0.857415243876
4,10,5,0.521366666667,0.0391088083287,0.261521332652,0.830144917832,34.9693333333,0.291466788655,M-runs,0.830144917832,0.876569511393,0.837481814579
4,10,5,0.279166666667,0.0338910837176,0.0516196987664,0.710123526724,11.2803,2.12108984801,SM-runs,0.710123526724,0.969222618602,0.742915116549
5,3,5,0.7359,0.053498504652,0.412351839838,0.844794741762,13.5,0.0,Baseline,0.844794741762,0.823850089826,0.841182439173
5,3,5,0.512933333333,0.0410665584414,0.238356097998,0.784907941937,10.5259,0.106465440402,M-runs,0.784907941937,0.882597315248,0.799570168107
