Nt,J,lr,loss_mean,loss_std,FPR,TPR,price_mean,price_std,alg,recall,precision
4,10,5,0.0799,0.00815414005276,0.00100768802145,0.887269941313,44.0,0.0,mv,0.887269941313,0.999514167841
5,2,5,0.2101,0.0244640552648,0.0992978839232,0.9132132196,9.0,0.0,dong,0.9132132196,0.955245777918
5,2,5,0.3405,0.0314173518935,0.188539898129,0.918313269377,9.0,0.0,dawid,0.918313269377,0.918810646747
5,2,5,0.2101,0.0244640552648,0.0992978839232,0.9132132196,9.0,0.0,mv,0.9132132196,0.955245777918
5,3,5,0.2226,0.0266015037169,0.135602673238,0.977483634934,13.5,0.0,dong,0.977483634934,0.942456299123
5,3,5,0.2204,0.0204802343737,0.133441198926,0.975646831743,13.5,0.0,dawid,0.975646831743,0.94326891414
5,3,5,0.1641,0.0210021427478,0.0524102671986,0.878115161779,13.5,0.0,mv,0.878115161779,0.974641395533
5,5,5,0.1013,0.026705991837,0.0614410700963,0.990875586784,22.5,0.0,dong,0.990875586784,0.973024196031
5,5,5,0.1395,0.0331700165812,0.0874238352515,0.993487608519,22.5,0.0,dawid,0.993487608519,0.962214334194
5,5,5,0.103,0.0108166538264,0.0110181873565,0.875493224635,22.5,0.0,mv,0.875493224635,0.994428787956
5,10,5,0.0197,0.0129,0.0113418572278,0.99822218311,45.0,0.0,dong,0.99822218311,0.994536785585
5,10,5,0.0608,0.0180321934329,0.0374035594124,0.999549170292,45.0,0.0,dawid,0.999549170292,0.982422861559
5,10,5,0.0695,0.00776208734813,0.0,0.897549806865,45.0,0.0,mv,0.897549806865,1.0
6,2,5,0.1869,0.0231276890328,0.0820408936855,0.912329190882,9.2,0.0,dong,0.912329190882,0.961601398549
6,2,5,0.3464,0.0527071152692,0.192906303013,0.926026669775,9.2,0.0,dawid,0.926026669775,0.915994140634
6,2,5,0.1869,0.0231276890328,0.0820408936855,0.912329190882,9.2,0.0,mv,0.912329190882,0.961601398549
6,3,5,0.1769,0.0361260293971,0.110813016033,0.983742042691,13.8,0.0,dong,0.983742042691,0.954183774684
6,3,5,0.1749,0.0340835737563,0.108472100947,0.981595701068,13.8,0.0,dawid,0.981595701068,0.955009901518
6,3,5,0.1201,0.0179913868281,0.0279626865196,0.887803569017,13.8,0.0,mv,0.887803569017,0.986854436996
6,5,5,0.0794,0.0207422274599,0.0472902825057,0.991466830828,23.0,0.0,dong,0.991466830828,0.978947407421
6,5,5,0.1121,0.0306380482407,0.0697537519367,0.994058606518,23.0,0.0,dawid,0.994058606518,0.969512548225
6,5,5,0.1033,0.0127283148924,0.0071472855986,0.866536393905,23.0,0.0,mv,0.866536393905,0.996336442939
6,10,5,0.0169,0.0105494075663,0.0107227110865,0.999422543424,46.0,0.0,dong,0.999422543424,0.995254777403
