Nt,J,lr,loss_mean,loss_std,FPR,TPR,price_mean,price_std,alg,recall,precision,f_beta,Nm,corr
5,3,5,1.5550000000000002,0.04242640687119287,1.0,1.0,0.0,0.0,Machines-Ensemble,1.0,0.689,0.930009058949303,10,0.0
5,3,5,0.1901,0.06693048632723357,0.11664469584517903,0.9867706235949951,6.2362,0.6910539486899704,Hybrid-Ensemble,0.9867706235949951,0.9498027529308146,0.9803598580172019,10,0.0
5,3,5,0.0747,0.029158360722098216,0.03028269111117505,0.959696213555475,6.326,0.6729337263059418,Crowd-Ensemble,0.959696213555475,0.9861049090765215,0.9638346026488769,10,0.0
5,3,5,1.557,0.05273518749374082,1.0,1.0,0.0,0.0,Machines-Ensemble,1.0,0.6886,0.9298740750497684,10,0.1
5,3,5,0.1851,0.10885903729135217,0.11558651455363878,0.9904185785660017,6.358700000000001,0.3470495785907252,Hybrid-Ensemble,0.9904185785660017,0.9512067595013761,0.9835463033793165,10,0.1
5,3,5,0.07410000000000001,0.04578307547555101,0.02589279980544875,0.9512468341535287,6.3742,0.8619352411869466,Crowd-Ensemble,0.9512468341535287,0.9876164353949262,0.9568273601093338,10,0.1
5,3,5,1.5260000000000002,0.08095677859203639,1.0,1.0,0.0,0.0,Machines-Ensemble,1.0,0.6948000000000001,0.9316965591112683,10,0.2
5,3,5,0.2182,0.0651518226913108,0.13833560678916523,0.9882430823715034,6.0102,0.7167593459453458,Hybrid-Ensemble,0.9882430823715034,0.9426700369398008,0.9802996998951736,10,0.2
5,3,5,0.0986,0.027749594591633224,0.05835528827665102,0.985474931717744,6.2997,0.5473662485027735,Crowd-Ensemble,0.985474931717744,0.9748840900136682,0.9836818949296525,10,0.2
5,3,5,1.5485,0.06050000000000001,1.0,1.0,0.0,0.0,Machines-Ensemble,1.0,0.6902999999999999,0.930378263540323,10,0.3
5,3,5,0.2041,0.0820663755748967,0.12641337663240396,0.9860991841455198,6.0299000000000005,0.4945334063539084,Hybrid-Ensemble,0.9860991841455198,0.9465273311048191,0.9791988864679949,10,0.3
5,3,5,0.08480000000000001,0.04451022354470937,0.024129914476759724,0.9316676395852646,6.2532,0.6847672305243586,Crowd-Ensemble,0.9316676395852646,0.9883657531379516,0.9402816370804044,10,0.3
5,3,5,1.529,0.07955501241279517,1.0,1.0,0.0,0.0,Machines-Ensemble,1.0,0.6942000000000002,0.9315191528935458,10,0.4
5,3,5,0.1615,0.09905276371712199,0.10133578347101731,0.9869971193475576,6.461,0.5907855787000899,Hybrid-Ensemble,0.9869971193475576,0.9582118987553996,0.9819927759237143,10,0.4
5,3,5,0.0813,0.03065632071857287,0.038363926672807906,0.9682426588672703,6.370900000000001,0.36281440158847056,Crowd-Ensemble,0.9682426588672703,0.9828871064678669,0.970478560495969,10,0.4
5,3,5,1.5125000000000002,0.054417368550858845,1.0,1.0,0.0,0.0,Machines-Ensemble,1.0,0.6975,0.9325511051294088,10,0.5
5,3,5,0.24230000000000002,0.0868884917581149,0.15276102148377652,0.9852436928146412,6.253200000000001,0.5522479153423758,Hybrid-Ensemble,0.9852436928146412,0.9371558485045242,0.9767999051011291,10,0.5
5,3,5,0.0945,0.051963929797504735,0.03568219735873662,0.9417673332003421,6.126900000000001,0.897934346152323,Crowd-Ensemble,0.9417673332003421,0.983630761147271,0.9481979737722442,10,0.5
5,3,5,1.5305000000000002,0.09673287962218434,1.0,1.0,0.0,0.0,Machines-Ensemble,1.0,0.6939,0.9313907893034304,10,0.6
5,3,5,0.18230000000000002,0.09067088838210421,0.11431683164597303,0.9879940655253522,6.164,0.5641999645515763,Hybrid-Ensemble,0.9879940655253522,0.9522496575750934,0.9817740195908945,10,0.6
5,3,5,0.09179999999999999,0.03236603157633015,0.03611530898142613,0.9469795271068524,6.2297,0.6685198650750777,Crowd-Ensemble,0.9469795271068524,0.9836442394544573,0.952692171104699,10,0.6
5,3,5,1.574,0.058940648113165496,1.0,1.0,0.0,0.0,Machines-Ensemble,1.0,0.6852000000000001,0.9288268241752329,10,0.7
5,3,5,0.20139999999999997,0.07527575971054694,0.12313240492026019,0.9884768080417461,6.2844,0.5900742665122756,Hybrid-Ensemble,0.9884768080417461,0.9463480104018241,0.981135110876777,10,0.7
5,3,5,0.09230000000000001,0.03990501221651235,0.04571820899700766,0.9694737158022454,6.1881,0.40205160116582045,Crowd-Ensemble,0.9694737158022454,0.9791697692219408,0.9709409949429139,10,0.7
5,3,5,1.5375,0.09429342500938227,1.0,1.0,0.0,0.0,Machines-Ensemble,1.0,0.6925,0.9309729164605098,10,0.8
5,3,5,0.20829999999999999,0.10114548927164276,0.12983334819552336,0.9887378237552522,6.0132,0.4855182385863584,Hybrid-Ensemble,0.9887378237552522,0.9451757625840334,0.9810905979851471,10,0.8
5,3,5,0.0693,0.035911140332771395,0.030484589909962927,0.9690860128203482,6.445299999999999,0.46320946665628493,Crowd-Ensemble,0.9690860128203482,0.9857587294716195,0.9717211771122729,10,0.8
5,3,5,1.5405,0.07461400672795963,1.0,1.0,0.0,0.0,Machines-Ensemble,1.0,0.6919,0.9308342963846604,10,0.9
5,3,5,0.156,0.05331978994707312,0.09596809216780136,0.9884138561503344,6.224200000000001,0.4760549968228462,Hybrid-Ensemble,0.9884138561503344,0.9586040671958246,0.9832893459632255,10,0.9
5,3,5,0.0884,0.03300363616330783,0.03276976190015113,0.9449773581877773,6.1198999999999995,0.6062727851388349,Crowd-Ensemble,0.9449773581877773,0.9849509191836627,0.9511330731615424,10,0.9
