Nt,J,lr,loss_mean,loss_std,syn_votes_prop,price_mean,recall,precision,f_beta,f_beta_std,alg
1,3,5,0.383,0.00525991127935,0.09,9.45,0.902352941176,0.927445671186,0.906435343369,0.00527798579392,Baseline
1,3,5,0.375,0.0084656167328,0.09,7.6272,0.911764705882,0.92813633596,0.914440185748,0.00846432865999,M-runs
1,3,5,0.361,0.00650640709865,0.145065797184,8.9985,0.928235294118,0.929324473976,0.928409080132,0.00647061430225,SM-runs
1,5,5,0.315,0.0123153021346,0.270666666667,15.75,0.923529411765,0.940106634202,0.92622389182,0.0123026449598,Baseline
1,5,5,0.313,0.009,0.270666666667,12.65775,0.925882352941,0.940255940754,0.928232603355,0.00897187344445,M-runs
1,5,5,0.297666666667,0.00667499479817,0.275636167461,14.04725,0.943921568627,0.941333878279,0.943481241451,0.00662359953612,SM-runs
1,10,5,0.2,0.0214476105895,0.538333333333,31.5,0.945098039216,0.963225114408,0.948003663537,0.0185372831058,Baseline
1,10,5,0.194,0.0216948534604,0.538333333333,25.2245,0.946274509804,0.964416649199,0.949166160355,0.0207958601979,M-runs
1,10,5,0.205333333333,0.0271702451631,0.497318682714,24.49755,0.950588235294,0.961157413298,0.952271959655,0.0172306328053,SM-runs
2,3,5,0.471,0.0185022521152,0.18,9.9,0.912549019608,0.907197852304,0.911639161089,0.00971613173197,Baseline
2,3,5,0.480666666667,0.0138884444373,0.18,8.0234,0.903137254902,0.905969002219,0.903589459092,0.0102433437544,M-runs
2,3,5,0.457333333333,0.0141264134003,0.191806449737,8.82896666667,0.930588235294,0.908489003436,0.926815792114,0.00942129706977,SM-runs
2,5,5,0.226,0.0138082101181,0.393333333333,16.5,0.910588235294,0.962675526558,0.918838194687,0.0138877788507,Baseline
2,5,5,0.230666666667,0.0156914697279,0.393333333333,13.2916666667,0.905098039216,0.962454053735,0.914130870933,0.0158381837209,M-runs
2,5,5,0.203,0.0159478316185,0.363665958474,13.398,0.937647058824,0.963710791369,0.941844902755,0.015891211244,SM-runs
2,10,5,0.0793333333333,0.0268245327183,0.669333333333,33.0,0.912549019608,0.998732384824,0.925753683942,0.0233844206632,Baseline
2,10,5,0.0763333333333,0.0212105843599,0.669333333333,26.4183333333,0.910196078431,1.0,0.923935767972,0.0214367689531,M-runs
2,10,5,0.077,0.0360693775937,0.64126809266,24.8273666667,0.927058823529,0.996221502975,0.937826034407,0.0211641616232,SM-runs
3,3,5,0.249,0.0183212081115,0.405555555556,10.35,0.883529411765,0.961566242543,0.895579145478,0.0186298463166,Baseline
3,3,5,0.254,0.0187260958736,0.405555555556,8.3582,0.877647058824,0.961317362196,0.890497967416,0.0190760423385,M-runs
