Nt,J,lr,loss_mean,loss_std,price_mean,price_std,alg,recall,precision,f_beta,tests_num,corr,machine_selec_conf,baseline_items,total_items
5,3,5,0.09820000000000001,0.07038863544635597,0.0,0.0,Machines-Ensemble,0.9656892698161019,0.9780605651105418,0.967713099075201,50,0.0,0.95,20,1000
5,3,5,0.3335,0.11383255246193859,1.7518,0.14592244515495206,Hybrid-Ensemble,0.9949258487765731,0.9132100666805169,0.9801829794263555,50,0.0,0.95,20,1000
5,3,5,0.512,0.098991918862097,3.0126999999999997,0.2210194787795863,Crowd-Ensemble,0.9515569657291264,0.8733205533121062,0.9374078223727865,50,0.0,0.95,20,1000
5,3,5,0.23180000000000006,0.08982961649701061,0.0,0.0,Machines-Ensemble,0.9383024904751321,0.9451742594970906,0.9394198883344403,50,0.1,0.95,20,1000
5,3,5,0.3178,0.10303766301697646,1.8496,0.21114459500541324,Hybrid-Ensemble,0.9909761572986225,0.917419943562658,0.9777956934494764,50,0.1,0.95,20,1000
5,3,5,0.48019999999999996,0.10517109869160823,2.9287,0.4209520281457259,Crowd-Ensemble,0.9223306750253389,0.8833902054996304,0.9152200588692241,50,0.1,0.95,20,1000
5,3,5,0.36089999999999994,0.12736753903565853,0.0,0.0,Machines-Ensemble,0.9212991467939091,0.9122907273864165,0.9197485420008812,50,0.2,0.95,20,1000
5,3,5,0.3906,0.10078809453501937,2.0460000000000003,0.31454729374133866,Hybrid-Ensemble,0.9861615752384122,0.9001187242943786,0.9705857410262017,50,0.2,0.95,20,1000
5,3,5,0.4051,0.09855298067537076,3.3682000000000003,0.7339577372028993,Crowd-Ensemble,0.9307232682466828,0.9012088820555295,0.9252157218565081,50,0.2,0.95,20,1000
5,3,5,0.6094999999999999,0.12661141338757737,0.0,0.0,Machines-Ensemble,0.8984273228797957,0.8510828955998979,0.8901181012898313,50,0.3,0.95,20,1000
5,3,5,0.4556,0.08620580026889144,2.3048999999999995,0.2716977916730278,Hybrid-Ensemble,0.9721887364980294,0.8847632358969497,0.9562748214007384,50,0.3,0.95,20,1000
5,3,5,0.5342,0.09765633619996196,2.9636000000000005,0.17233177304258196,Crowd-Ensemble,0.9371197818273161,0.8682312451147892,0.9246545308511258,50,0.3,0.95,20,1000
5,3,5,0.6355,0.2131967401251717,0.0,0.0,Machines-Ensemble,0.9145084512648607,0.8481042470908399,0.9026133908945454,50,0.4,0.95,20,1000
5,3,5,0.4481,0.07775146300874344,2.2344,0.3940924257074728,Hybrid-Ensemble,0.9596598315203047,0.8883879118146755,0.9469568520588633,50,0.4,0.95,20,1000
5,3,5,0.469,0.07745062943578962,3.0521,0.20480354000846768,Crowd-Ensemble,0.9540717757508054,0.8845072232724611,0.9413702196953933,50,0.4,0.95,20,1000
5,3,5,0.7856,0.20982573722019898,0.0,0.0,Machines-Ensemble,0.908177381575288,0.8147804213867177,0.8909842990375415,50,0.5,0.95,20,1000
5,3,5,0.4499000000000001,0.1165851191190368,2.4585999999999997,0.3897989738313841,Hybrid-Ensemble,0.9323214045987436,0.8899851703390216,0.9246062357515277,50,0.5,0.95,20,1000
5,3,5,0.5010000000000001,0.106393608830606,2.7968,0.3435866120791088,Crowd-Ensemble,0.9274426577251266,0.8778138364402451,0.9183232644651774,50,0.5,0.95,20,1000
5,3,5,0.9016,0.18587802452145868,0.0,0.0,Machines-Ensemble,0.9134447443079281,0.7916290657957147,0.8903911813354375,50,0.6,0.95,20,1000
5,3,5,0.5255000000000001,0.05857687256929991,2.6046,0.48912967605738256,Hybrid-Ensemble,0.9309777918375699,0.8713986524948348,0.920379906221843,50,0.6,0.95,20,1000
5,3,5,0.4685,0.12824605257082963,3.1533,0.37591037495658464,Crowd-Ensemble,0.9223013516428754,0.886460882334443,0.9157912622146688,50,0.6,0.95,20,1000
5,3,5,0.9853999999999999,0.2665123636906926,0.0,0.0,Machines-Ensemble,0.917411675189407,0.7752999896152964,0.889720440499693,50,0.7,0.95,20,1000
5,3,5,0.491,0.06707309445671938,2.7201,0.5462522219634443,Hybrid-Ensemble,0.9003953625836892,0.8805224194061957,0.8965658885969734,50,0.7,0.95,20,1000
5,3,5,0.5422,0.0711193363298618,2.8475999999999995,0.47705538462530733,Crowd-Ensemble,0.9039606619970186,0.8670169242803333,0.8968366724375582,50,0.7,0.95,20,1000
5,3,5,0.9524000000000001,0.24946631035071648,0.0,0.0,Machines-Ensemble,0.9245029328284732,0.7836585827856418,0.8972108469176314,50,0.8,0.95,20,1000
5,3,5,0.5959,0.3123765196041469,2.4901999999999997,0.6438375260886865,Hybrid-Ensemble,0.9229962919719267,0.8620958737137976,0.9106800410754909,50,0.8,0.95,20,1000
5,3,5,0.4671,0.06984618815654867,2.8931999999999998,0.47221304513958534,Crowd-Ensemble,0.9198456830485778,0.8870970852680381,0.9136774822268166,50,0.8,0.95,20,1000
5,3,5,1.1113,0.18943708718199823,0.0,0.0,Machines-Ensemble,0.9192692777207929,0.7537850364470617,0.8865232444788955,50,0.9,0.95,20,1000
5,3,5,0.6975999999999999,0.33068601421892646,2.9236,1.0805123969672907,Hybrid-Ensemble,0.8972070344773195,0.8417853874418736,0.8851045384090032,50,0.9,0.95,20,1000
5,3,5,0.4638999999999999,0.09593377924380964,2.9308000000000005,0.14109060918431107,Crowd-Ensemble,0.9207797865823618,0.8887340782696835,0.9145649453045108,50,0.9,0.95,20,1000
