Nt,J,lr,loss_mean,loss_std,FPR,TPR,price_mean,price_std,alg,recall,precision,f_beta
3,3,5,0.1168,0.0268531810654,0.0637366839957,0.970548677416,7.30973333333,0.412668626813,SM-runs,0.970548677416,0.972335895579,0.970829904795
3,5,5,0.137666666667,0.0327427684976,0.0834065037049,0.987002269446,21.5,0.0,Baseline,0.987002269446,0.96367382041,0.983019775246
3,5,5,0.1132,0.0187268078789,0.0646006343228,0.979411866379,16.9316666667,0.260337387933,M-runs,0.979411866379,0.97159728395,0.978097806905
3,5,5,0.085,0.0336590750517,0.0382945644853,0.962240538686,7.7798,0.33793494443,SM-runs,0.962240538686,0.982628990128,0.965494836719
3,10,5,0.0344666666667,0.0124465077655,0.0213039759304,0.997881739563,43.0,0.0,Baseline,0.997881739563,0.990512762335,0.996644439759
3,10,5,0.0271333333333,0.0159827684989,0.0164026976413,0.997387700483,34.224,0.290236685023,M-runs,0.997387700483,0.992720780659,0.996602889228
3,10,5,0.0664666666667,0.0183225422787,0.0290992519485,0.968867693582,8.9036,0.385088526619,SM-runs,0.968867693582,0.986751735799,0.971794157957
4,3,5,0.222066666667,0.0381898183057,0.136331164661,0.976042658655,13.2,0.0,Baseline,0.976042658655,0.943195536391,0.970390351525
4,3,5,0.223133333333,0.0344980514748,0.130273166364,0.960606868675,10.249,0.120472403479,M-runs,0.960606868675,0.944903859184,0.957940385764
4,3,5,0.0904666666667,0.0356629904648,0.0520301335393,0.980184294812,6.82226666667,0.582412393031,SM-runs,0.980184294812,0.978389397717,0.979850222322
4,5,5,0.107933333333,0.0194917646428,0.065161645618,0.988097371463,22.0,0.0,Baseline,0.988097371463,0.971777900958,0.985331388614
4,5,5,0.0952666666667,0.0299454318534,0.0548762293067,0.983773085683,17.402,0.178202132423,M-runs,0.983773085683,0.97601690387,0.982461819094
4,5,5,0.067,0.03924113488,0.0329919324909,0.97700417215,7.528,0.312974759366,SM-runs,0.97700417215,0.9852574228,0.978338993747
4,10,5,0.022,0.0104498803821,0.0139631255234,0.998576742924,44.0,0.0,Baseline,0.998576742924,0.994024356832,0.997813810177
4,10,5,0.0194,0.00963881043836,0.0119961267522,0.998001738185,34.964,0.258812673569,M-runs,0.998001738185,0.99487457692,0.997478366795
4,10,5,0.0589333333333,0.0184949242286,0.0277920318324,0.975199794549,8.64453333333,0.314019079392,SM-runs,0.975199794549,0.987967501755,0.977257022191
5,3,5,0.197466666667,0.0243142390838,0.1160944547,0.976533911336,13.5,0.0,Baseline,0.976533911336,0.948728974959,0.971775692053
