Nt,J,lr,loss_mean,loss_std,FPR,TPR,price_mean,price_std,alg,recall,precision,f_beta,Nm,corr
5,3,5,1.486,0.06884039511798287,1.0,1.0,0.0,0.0,Machines-Ensemble,1.0,0.7028,0.9340980208574589,100,0.0
5,3,5,0.1769,0.047230181028660057,0.11261026790649187,0.987300280957536,6.4289000000000005,0.45284378101062633,Hybrid-Ensemble,0.987300280957536,0.95385750451424,0.981536829652808,100,0.0
5,3,5,0.0747,0.02084730198371003,0.03854598231775165,0.9748114102832343,6.2263,0.43511792654405773,Crowd-Ensemble,0.9748114102832343,0.9837639655867049,0.9762157531074562,100,0.0
5,3,5,1.573,0.08936442245099559,1.0,1.0,0.0,0.0,Machines-Ensemble,1.0,0.6853999999999999,0.9288243934297521,100,0.1
5,3,5,0.1883,0.06384363711443765,0.1146311349283543,0.98789714843643,6.0397,0.6069985255336292,Hybrid-Ensemble,0.98789714843643,0.9497570761910545,0.9812785295971084,100,0.1
5,3,5,0.0685,0.035707842275892285,0.03460406462614116,0.9782524132174976,6.4316,0.6221503355299263,Crowd-Ensemble,0.9782524132174976,0.9845934131193536,0.9792134443567194,100,0.1
5,3,5,1.5545,0.06022665522839533,1.0,1.0,0.0,0.0,Machines-Ensemble,1.0,0.6890999999999999,0.9300148026358037,100,0.2
5,3,5,0.20829999999999999,0.06844421085818728,0.12870516177898877,0.9886918841412704,6.0539000000000005,0.5559351490956477,Hybrid-Ensemble,0.9886918841412704,0.9446982042146006,0.9810158829488937,100,0.2
5,3,5,0.08180000000000001,0.04661072837877563,0.033621722374076485,0.9561978348915174,6.422500000000001,0.7039903763546771,Crowd-Ensemble,0.9561978348915174,0.9846965376128125,0.9606698015997178,100,0.2
5,3,5,1.5355000000000003,0.0729880127144177,1.0,1.0,0.0,0.0,Machines-Ensemble,1.0,0.6929,0.931139614186993,100,0.3
5,3,5,0.1804,0.08103233922330023,0.11269062200389109,0.98641642838676,6.1537,0.42088027988966176,Hybrid-Ensemble,0.98641642838676,0.9529899466360645,0.9806103521281282,100,0.3
5,3,5,0.09640000000000001,0.03834631664188883,0.0417784988437076,0.9529648368919276,5.8698,0.5639547499578312,Crowd-Ensemble,0.9529648368919276,0.981120331233279,0.9571576267273032,100,0.3
5,3,5,1.5645,0.089119302061899,1.0,1.0,0.0,0.0,Machines-Ensemble,1.0,0.6871,0.929346924304849,100,0.4
5,3,5,0.215,0.08699655165579841,0.13146586883903788,0.9869342139201613,6.213100000000001,0.3462844062327958,Hybrid-Ensemble,0.9869342139201613,0.9431217199761799,0.9792654785470661,100,0.4
5,3,5,0.07869999999999999,0.03325672864248677,0.03722716315762206,0.9691425609739357,6.5618,0.5007058617591769,Crowd-Ensemble,0.9691425609739357,0.9832358555111563,0.9711329762341796,100,0.4
5,3,5,1.5524999999999998,0.07862092596758191,1.0,1.0,0.0,0.0,Machines-Ensemble,1.0,0.6895,0.930101292139657,100,0.5
5,3,5,0.23470000000000005,0.09614681481983685,0.146991438951589,0.9881405564503805,6.1046,0.7327428198215251,Hybrid-Ensemble,0.9881405564503805,0.9383976026704351,0.9793796040489855,100,0.5
5,3,5,0.09169999999999999,0.03657881900772632,0.03227751798813437,0.9381832470107675,6.1751,0.4266465633284768,Crowd-Ensemble,0.9381832470107675,0.9850751870224339,0.9451605146590261,100,0.5
5,3,5,1.542,0.04749736834815165,1.0,1.0,0.0,0.0,Machines-Ensemble,1.0,0.6916,0.9307903158693097,100,0.6
5,3,5,0.1903,0.08111232951900715,0.11639626140652211,0.98653411915872,6.449800000000001,0.24266635531115566,Hybrid-Ensemble,0.98653411915872,0.9498661203706925,0.9801602997299156,100,0.6
5,3,5,0.098,0.05641276451300717,0.049914739555957086,0.9690136232759858,6.1898,0.7238836646865296,Crowd-Ensemble,0.9690136232759858,0.9777874804139992,0.9703295552488267,100,0.6
5,3,5,1.56,0.05625833271614085,1.0,1.0,0.0,0.0,Machines-Ensemble,1.0,0.688,0.9296866740082645,100,0.7
5,3,5,0.1823,0.04619534608594246,0.1111515419518138,0.9878992422182085,6.2813,0.32276990256218135,Hybrid-Ensemble,0.9878992422182085,0.9512957863376785,0.9815903240545671,100,0.7
5,3,5,0.12209999999999999,0.0471581382160068,0.057427337388626945,0.9526668295101579,5.7863,0.6335173320438832,Crowd-Ensemble,0.9526668295101579,0.9733338940592015,0.9559240793470417,100,0.7
5,3,5,1.545,0.06062177826491073,1.0,1.0,0.0,0.0,Machines-Ensemble,1.0,0.6910000000000001,0.9305899722298117,100,0.8
5,3,5,0.1948,0.09215725690362099,0.11867111270819408,0.9857826497024631,6.367700000000001,0.5063609483362634,Hybrid-Ensemble,0.9857826497024631,0.9488116023342569,0.9793434998549513,100,0.8
5,3,5,0.09259999999999999,0.029695790947540025,0.04214974690352713,0.9599910136694518,6.5428,0.5274826632222144,Crowd-Ensemble,0.9599910136694518,0.9808676264678461,0.9632187058612585,100,0.8
5,3,5,1.5495,0.06092823647538141,1.0,1.0,0.0,0.0,Machines-Ensemble,1.0,0.6901,0.9303169094140544,100,0.9
5,3,5,0.1778,0.05150300962079789,0.10985419364457756,0.9879710877216065,6.4061,0.4541133008402199,Hybrid-Ensemble,0.9879710877216065,0.9529109875980776,0.9819083946978016,100,0.9
5,3,5,0.07810000000000002,0.03671906861563893,0.0370309392210483,0.9692336229120156,6.5755,0.742593731457518,Crowd-Ensemble,0.9692336229120156,0.983337186148936,0.9714543205733428,100,0.9
