Nt,J,lr,loss_mean,loss_std,price_mean,price_std,alg,recall,precision,f_beta,tests_num,corr,machine_selec_conf,baseline_items,total_items
5,3,5,0.1046,0.07772155428193649,0.0,0.0,Machines-Ensemble,0.8544946536544691,0.998183228160561,0.8736032859222098,50,0.0,0.6,20,1000
5,3,5,0.0394,0.024401639289195302,2.7976,0.4461782603399678,Hybrid-Ensemble,0.9943089780333704,0.9897518727461507,0.9935402489212903,50,0.0,0.6,20,1000
5,3,5,0.0751,0.041003536432849305,6.5381,0.6819340803919393,Crowd-Ensemble,0.9656156784844073,0.9848152310258147,0.9683520997370605,50,0.0,0.6,20,1000
5,3,5,0.20459999999999998,0.08959933035464049,0.0,0.0,Machines-Ensemble,0.7569564123743906,0.9847134886883525,0.7851004681434262,50,0.1,0.6,20,1000
5,3,5,0.0509,0.031274430450449454,3.1801000000000004,0.5190066377224861,Hybrid-Ensemble,0.9855573224995406,0.9881001835205436,0.9859605974013961,50,0.1,0.6,20,1000
5,3,5,0.0859,0.041005975174357216,6.376899999999999,0.5767828794269125,Crowd-Ensemble,0.9657075060253307,0.9818274263045316,0.9681208431674821,50,0.1,0.6,20,1000
5,3,5,0.1751,0.07000349991250437,0.0,0.0,Machines-Ensemble,0.8625132500255273,0.9733505402539064,0.8787737436637842,50,0.2,0.6,20,1000
5,3,5,0.0489,0.022088232161039962,3.0688999999999997,0.4042982686087092,Hybrid-Ensemble,0.9813515384040672,0.9895470502462134,0.9826938084642922,50,0.2,0.6,20,1000
5,3,5,0.0975,0.04992444291126341,6.1025,0.5664604575784615,Crowd-Ensemble,0.9665887245593939,0.9782033276391434,0.9683739659524073,50,0.2,0.6,20,1000
5,3,5,0.33799999999999997,0.09789075543686442,0.0,0.0,Machines-Ensemble,0.8105770382644716,0.9303999146791705,0.8276037728898045,50,0.3,0.6,20,1000
5,3,5,0.07780000000000001,0.024375397432657382,3.5289,0.4942769365446864,Hybrid-Ensemble,0.9663403517726147,0.9840232688354904,0.9692040162629304,50,0.3,0.6,20,1000
5,3,5,0.09570000000000001,0.03775725095925285,6.1306,0.7440598363035058,Crowd-Ensemble,0.9456650550757815,0.9826164519293187,0.9511240405155013,50,0.3,0.6,20,1000
5,3,5,0.5439999999999999,0.14851262572589577,0.0,0.0,Machines-Ensemble,0.812317001108443,0.8689681588134046,0.8211158366142584,50,0.4,0.6,20,1000
5,3,5,0.0785,0.03156342820417326,4.1849,0.7279272559809805,Hybrid-Ensemble,0.945850533674704,0.9873794810690768,0.9524278721894014,50,0.4,0.6,20,1000
5,3,5,0.0658,0.038620719827574417,6.6076999999999995,0.7943729665591598,Crowd-Ensemble,0.9820893866479634,0.9844844247156374,0.9824602461316667,50,0.4,0.6,20,1000
5,3,5,0.5906,0.13727650927962876,0.0,0.0,Machines-Ensemble,0.8531086835504691,0.8568691476797989,0.8536295691601297,50,0.5,0.6,20,1000
5,3,5,0.1024,0.03026615271222955,3.7683,0.4415407229237186,Hybrid-Ensemble,0.9189023295954264,0.9855883343645978,0.9291441664201716,50,0.5,0.6,20,1000
5,3,5,0.0898,0.042369328529019666,6.1691,0.5379859570657954,Crowd-Ensemble,0.9539010407400609,0.9829889381388096,0.9580857159664428,50,0.5,0.6,20,1000
5,3,5,0.8351000000000001,0.16527700989550842,0.0,0.0,Machines-Ensemble,0.8624807147659039,0.8008252723248743,0.8514034422916786,50,0.6,0.6,20,1000
5,3,5,0.1363,0.04558519496503223,4.2533,0.48680325594638335,Hybrid-Ensemble,0.8733224151504446,0.9834111293362817,0.8897168376236104,50,0.6,0.6,20,1000
5,3,5,0.0954,0.04354124481454337,6.1350999999999996,0.6607812724343812,Crowd-Ensemble,0.9670261730349037,0.978757725388604,0.9687840084521533,50,0.6,0.6,20,1000
5,3,5,0.8769,0.20410215579459223,0.0,0.0,Machines-Ensemble,0.8820976246643584,0.7943836125758239,0.8658350181668691,50,0.7,0.6,20,1000
5,3,5,0.1317,0.03900781972886975,4.3722,0.8256474792549179,Hybrid-Ensemble,0.8865076889431472,0.9828291052093162,0.901003680320783,50,0.7,0.6,20,1000
5,3,5,0.1068,0.03728753142807928,6.0445,0.5778178346157203,Crowd-Ensemble,0.9457113366444018,0.9795697373618859,0.9506964403801401,50,0.7,0.6,20,1000
5,3,5,1.0425999999999997,0.24397794982333956,0.0,0.0,Machines-Ensemble,0.9024948461680664,0.7631291101877797,0.8755357790863796,50,0.8,0.6,20,1000
5,3,5,0.15830000000000002,0.07431561074229291,4.8658,0.9882678584270563,Hybrid-Ensemble,0.8558169571336315,0.979941392372966,0.8738532893052117,50,0.8,0.6,20,1000
5,3,5,0.0704,0.04161778465992634,6.2936000000000005,0.6338945022635863,Crowd-Ensemble,0.9685596915839094,0.9856518409938575,0.97126302991479,50,0.8,0.6,20,1000
5,3,5,1.2008,0.1622207138438245,0.0,0.0,Machines-Ensemble,0.9056707640418036,0.734841789308067,0.8716478184985144,50,0.9,0.6,20,1000
5,3,5,0.20519999999999997,0.07545303174823395,5.2053,0.6606922203265297,Hybrid-Ensemble,0.8006228851169734,0.9759486788786175,0.8246453616640324,50,0.9,0.6,20,1000
5,3,5,0.0957,0.03828067397525806,6.1938,0.4954171575551255,Crowd-Ensemble,0.954881756836915,0.9810552085045444,0.9588797500797062,50,0.9,0.6,20,1000
5,3,5,0.143,0.10685691367431496,0.0,0.0,Machines-Ensemble,0.8034717062158739,0.99595881105773,0.8266797214020244,50,0.0,0.65,20,1000
