Nt,J,lr,loss_mean,loss_std,FPR,TPR,price_mean,price_std,alg,recall,precision,f_beta
1,3,5,0.5809,0.0721601690685,0.346265727388,0.922157328851,12.3,0.0,Baseline,0.922157328851,0.859129488015,0.910953055195
1,3,5,0.498,0.0607840439589,0.264328047738,0.862631521453,9.37935,0.150268185256,M-runs,0.862631521453,0.881717929267,0.865704696062
1,3,5,0.2068,0.0557499775785,0.103187195346,0.927333485636,10.1358,0.728584353387,SM-runs,0.927333485636,0.954103440066,0.931634174719
1,5,5,0.35015,0.0405712644614,0.205364357135,0.956485245056,20.5,0.0,Baseline,0.956485245056,0.911321957622,0.948628899147
1,5,5,0.3129,0.0477754120861,0.169870523482,0.93036855159,15.84925,0.221310161312,M-runs,0.93036855159,0.923509949735,0.929195584621
1,5,5,0.1608,0.0266488273663,0.0592673828658,0.901422179469,10.83635,0.853069005122,SM-runs,0.901422179469,0.971121588758,0.911990464561
1,10,5,0.1256,0.0141294019689,0.076149116208,0.98969400532,41.0,0.0,Baseline,0.98969400532,0.966361395024,0.985721606292
1,10,5,0.12135,0.0250485029493,0.0707076869667,0.984230497484,32.3445,0.370425093642,M-runs,0.984230497484,0.96834586599,0.981539790337
1,10,5,0.13665,0.0280022766932,0.0436973391603,0.900233489024,11.5961,0.689406621668,SM-runs,0.900233489024,0.978835277053,0.91203944528
2,3,5,0.40835,0.0441772282969,0.239229085748,0.946888174733,12.6,0.0,Baseline,0.946888174733,0.897715961085,0.938295336368
2,3,5,0.3307,0.0420928735061,0.180398949432,0.926443340746,9.6843,0.14165560349,M-runs,0.926443340746,0.919419180232,0.925214899325
2,3,5,0.1253,0.0490857413105,0.0617783098507,0.957512891505,8.49845,0.542421743204,SM-runs,0.957512891505,0.971811371555,0.959847351589
2,5,5,0.1974,0.0287304716286,0.117739005644,0.979448180534,21.0,0.0,Baseline,0.979448180534,0.948445701605,0.974127316324
2,5,5,0.17875,0.0266868413268,0.0991245241978,0.964100014977,16.388,0.177935381529,M-runs,0.964100014977,0.955647433668,0.962662137322
2,5,5,0.11,0.0439408693587,0.0518011561462,0.956459528977,8.789,0.541711916059,SM-runs,0.956459528977,0.976551304951,0.959701936802
