Nt,J,lr,loss_mean,loss_std,FPR,TPR,price_mean,price_std,alg,recall,precision,f_beta
5,3,5,0.214433333333,0.035819625285,0.126773399748,0.978003025727,13.5,0.0,Baseline,0.978003025727,0.943825267581,0.972118349823
5,3,5,0.2222,0.0389182048233,0.127780363063,0.969112560377,13.5,0.0,Baseline-criteria,0.969112560377,0.942900722169,0.964622457614
5,5,5,0.0970333333333,0.024893752005,0.058844684318,0.990782234609,22.5,0.0,Baseline,0.990782234609,0.974221770311,0.987975044541
5,5,5,0.1221,0.0271763990747,0.0742061535021,0.988992739027,22.5,0.0,Baseline-criteria,0.988992739027,0.967593161186,0.985349127278
5,10,5,0.0116,0.00753923072999,0.00720680482825,0.999375464512,45.0,0.0,Baseline,0.999375464512,0.9967725168,0.998940049408
5,10,5,0.0183,0.00903013473506,0.011552320822,0.999327085218,45.0,0.0,Baseline-criteria,0.999327085218,0.994863474965,0.998579151897
6,3,5,0.198766666667,0.0319548466155,0.118593746631,0.981882503939,13.8,0.0,Baseline,0.981882503939,0.947608106002,0.975979228564
6,3,5,0.2038,0.0283741666544,0.118474828266,0.974300646724,13.8,0.0,Baseline-criteria,0.974300646724,0.947243781035,0.969666467946
6,5,5,0.0775666666667,0.020441270889,0.0470830407758,0.992211646723,23.0,0.0,Baseline,0.992211646723,0.979472035194,0.990056047694
6,5,5,0.1008,0.0246162547923,0.0617306032621,0.991404135186,23.0,0.0,Baseline-criteria,0.991404135186,0.97315151081,0.988302451394
6,10,5,0.0132,0.00788416133777,0.008307237687,0.999233884899,46.0,0.0,Baseline,0.999233884899,0.99636669632,0.99875406773
6,10,5,0.0204666666667,0.0109779577133,0.0131674421136,0.999333462608,46.0,0.0,Baseline-criteria,0.999333462608,0.994287094743,0.99848743552
7,3,5,0.175166666667,0.0284641099554,0.107581047037,0.985309908556,14.1,0.0,Baseline,0.985309908556,0.953900561768,0.979920346968
7,3,5,0.174633333333,0.0318752603475,0.103402954212,0.976937567712,14.1,0.0,Baseline-criteria,0.976937567712,0.955250610724,0.973234733643
7,5,5,0.0664333333333,0.0181487985522,0.0403864925985,0.994997128109,23.5,0.0,Baseline,0.994997128109,0.98193167437,0.992789771585
7,5,5,0.081,0.0172819751958,0.048859024003,0.992976614944,23.5,0.0,Baseline-criteria,0.992976614944,0.978192649029,0.990476328041
7,10,5,0.0139666666667,0.00861581233676,0.00873812851401,0.999313613786,47.0,0.0,Baseline,0.999313613786,0.996103349695,0.998776357466
7,10,5,0.0194,0.00974200526928,0.0121949965245,0.999168408435,47.0,0.0,Baseline-criteria,0.999168408435,0.994572965305,0.998398461098
8,3,5,0.171833333333,0.0327882939816,0.103794300283,0.984266033682,14.4,0.0,Baseline,0.984266033682,0.954725536859,0.9792055956
8,3,5,0.173533333333,0.0323158715735,0.10113091743,0.976006609379,14.4,0.0,Baseline-criteria,0.976006609379,0.955426753486,0.972502890976
8,5,5,0.0650666666667,0.0180257840021,0.039690606691,0.994366325326,24.0,0.0,Baseline,0.994366325326,0.982534686182,0.992369604233
8,5,5,0.0766,0.0191478458318,0.046383681608,0.992634215806,24.0,0.0,Baseline-criteria,0.992634215806,0.979608720312,0.990433160995
8,10,5,0.0100666666667,0.00740690368658,0.0062244700222,0.99942014812,48.0,0.0,Baseline,0.99942014812,0.997203018624,0.999049281506
8,10,5,0.0142333333333,0.0087242318987,0.00896393320041,0.999419249189,48.0,0.0,Baseline-criteria,0.999419249189,0.996012832873,0.998849107843
9,3,5,0.159666666667,0.0324831580293,0.0957351523842,0.984273084136,14.7,0.0,Baseline,0.984273084136,0.957937560379,0.979769887741
9,3,5,0.1591,0.0346057317025,0.0915286278114,0.975675910043,14.7,0.0,Baseline-criteria,0.975675910043,0.959363736255,0.97290293866
9,5,5,0.0676,0.0201371960974,0.0417113858761,0.9947996287,24.5,0.0,Baseline,0.9947996287,0.981779055662,0.992599342482
9,5,5,0.0758333333333,0.0210714393328,0.0466413469601,0.993753190752,24.5,0.0,Baseline-criteria,0.993753190752,0.979670276556,0.991371703427
9,10,5,0.0091,0.0057,0.00543669168052,0.999123770757,49.0,0.0,Baseline,0.999123770757,0.99753015054,0.998856969116
9,10,5,0.0139666666667,0.00658525288471,0.00864404410642,0.999320303627,49.0,0.0,Baseline-criteria,0.999320303627,0.996084793281,0.998778816607
10,3,5,0.153033333333,0.0235421371634,0.0930293898956,0.986007806029,15.0,0.0,Baseline,0.986007806029,0.959673486896,0.981507427021
10,3,5,0.151233333333,0.0230357451704,0.0878418080909,0.977057189863,15.0,0.0,Baseline-criteria,0.977057189863,0.961505859727,0.97441674806
10,5,5,0.0632,0.0182526710374,0.03836844966,0.994644315225,25.0,0.0,Baseline,0.994644315225,0.982950429706,0.992672679081
10,5,5,0.0723666666667,0.0205547777631,0.043766850084,0.993684371167,25.0,0.0,Baseline-criteria,0.993684371167,0.980529729054,0.991463445836
10,10,5,0.00596666666667,0.00560049600978,0.003605816108,0.999559497246,50.0,0.0,Baseline,0.999559497246,0.998350302231,0.999357322569
10,10,5,0.0108666666667,0.00804874041215,0.00681588328951,0.999707046754,50.0,0.0,Baseline-criteria,0.999707046754,0.99690521946,0.999238290153
