Nt,J,lr,loss_mean,loss_std,FPR,TPR,price_mean,price_std,alg,recall,precision,f_beta,Nm,corr
5,3,5,1.5485000000000002,0.046424670165764216,1.0,1.0,0.0,0.0,Machines-Ensemble,1.0,0.6903,0.9303987428821043,50,0.0
5,3,5,0.16740000000000002,0.04127032832435429,0.10232463364848579,0.9863760086388235,6.4004,0.6828563831436301,Hybrid-Ensemble,0.9863760086388235,0.9558325712225834,0.9811226136950004,50,0.0
5,3,5,0.0698,0.052268154740721426,0.025610480072986552,0.955379410961033,6.405200000000001,0.7224412502065479,Crowd-Ensemble,0.955379410961033,0.9884662450959656,0.9605549663111355,50,0.0
5,3,5,1.589,0.06662582082045972,1.0,1.0,0.0,0.0,Machines-Ensemble,1.0,0.6822,0.9278899909903663,50,0.1
5,3,5,0.18859999999999996,0.06292408124080955,0.11400121466439841,0.9888064853255694,6.3555,0.4774591605572145,Hybrid-Ensemble,0.9888064853255694,0.9493412671484831,0.9819539320594084,50,0.1
5,3,5,0.059899999999999995,0.03489254934796252,0.020990216962109755,0.9601709588316257,6.7288000000000014,0.42892255711258653,Crowd-Ensemble,0.9601709588316257,0.9900712033389352,0.9648599362454524,50,0.1
5,3,5,1.5610000000000002,0.05088221693283423,1.0,1.0,0.0,0.0,Machines-Ensemble,1.0,0.6878,0.9296333106679524,50,0.2
5,3,5,0.1618,0.1111474696068246,0.09724422570099651,0.9864878714449992,6.4505,0.8967949877201589,Hybrid-Ensemble,0.9864878714449992,0.9578586299532412,0.9814436463211799,50,0.2
5,3,5,0.06810000000000001,0.03856799191039119,0.02526881832119738,0.9588927667973168,6.5533,0.5316959751587367,Crowd-Ensemble,0.9588927667973168,0.9882826168503172,0.9632756390455572,50,0.2
5,3,5,1.5440000000000003,0.06359245238233864,1.0,1.0,0.0,0.0,Machines-Ensemble,1.0,0.6912,0.9306462118698591,50,0.3
5,3,5,0.16150000000000003,0.0672209044866253,0.10014864935357895,0.988402329379096,6.303,0.133835720194573,Hybrid-Ensemble,0.988402329379096,0.9574124599907556,0.9830460850244046,50,0.3
5,3,5,0.0791,0.04492538258045222,0.03467172784289951,0.9622694490326553,6.369,0.7739245441255885,Crowd-Ensemble,0.9622694490326553,0.9845569234705203,0.9656126327834581,50,0.3
5,3,5,1.519,0.09441398201537742,1.0,1.0,0.0,0.0,Machines-Ensemble,1.0,0.6961999999999999,0.9320824023486093,50,0.4
5,3,5,0.16620000000000001,0.060634643562900575,0.10357223567367488,0.9845772165310201,6.231399999999999,0.3211676197875496,Hybrid-Ensemble,0.9845772165310201,0.957011466815356,0.9798239588405812,50,0.4
5,3,5,0.09059999999999999,0.042743888452034876,0.04649902399640071,0.9722190716571657,6.200099999999999,0.6041982207851989,Crowd-Ensemble,0.9722190716571657,0.9794847020572792,0.973298369831204,50,0.4
5,3,5,1.5279999999999998,0.05992495306631456,1.0,1.0,0.0,0.0,Machines-Ensemble,1.0,0.6944000000000001,0.9316155249096951,50,0.5
5,3,5,0.184,0.0860569578825559,0.11418326588851377,0.9877706542228941,6.2295,0.556103992073425,Hybrid-Ensemble,0.9877706542228941,0.9517586058390751,0.9814860702124859,50,0.5
5,3,5,0.098,0.04150903516103452,0.039738042501988015,0.9469749580555187,6.1777999999999995,0.575908464949075,Crowd-Ensemble,0.9469749580555187,0.9820852586831977,0.9521886771030476,50,0.5
5,3,5,1.557,0.06772001181334801,1.0,1.0,0.0,0.0,Machines-Ensemble,1.0,0.6886,0.9298496928649728,50,0.6
5,3,5,0.15309999999999999,0.07291289323569597,0.0923753618679001,0.9867682035352509,6.4414,0.6409245197369187,Hybrid-Ensemble,0.9867682035352509,0.959659093868785,0.9820911317807021,50,0.6
5,3,5,0.06609999999999999,0.029507456684709377,0.024492625158657293,0.9581980508593253,6.536500000000001,0.47378713574768994,Crowd-Ensemble,0.9581980508593253,0.9890503199910148,0.9629736325875203,50,0.6
5,3,5,1.5339999999999998,0.059194594347795004,1.0,1.0,0.0,0.0,Machines-Ensemble,1.0,0.6931999999999999,0.9312558386338143,50,0.7
5,3,5,0.21479999999999996,0.07890855466931325,0.13462677343858837,0.9880145675250965,6.285200000000001,0.5828810856426893,Hybrid-Ensemble,0.9880145675250965,0.9435244986094175,0.9802406943407231,50,0.7
5,3,5,0.083,0.04042029193363155,0.040641481289889675,0.9689902046343445,6.2034,0.5975614110700256,Crowd-Ensemble,0.9689902046343445,0.9825386318952465,0.9707871708497763,50,0.7
5,3,5,1.546,0.04223742416388579,1.0,1.0,0.0,0.0,Machines-Ensemble,1.0,0.6908,0.9305550542390592,50,0.8
5,3,5,0.20129999999999998,0.0907160955949935,0.12476553479638816,0.9894237843098803,6.0737,0.648409446260617,Hybrid-Ensemble,0.9894237843098803,0.9467058451509478,0.9819546184109983,50,0.8
5,3,5,0.0954,0.03830195817448502,0.051004153987818115,0.9755712744744948,6.143199999999999,0.6116521560494985,Crowd-Ensemble,0.9755712744744948,0.9773665030043986,0.9758309858573344,50,0.8
5,3,5,1.5659999999999998,0.05535341001239217,1.0,1.0,0.0,0.0,Machines-Ensemble,1.0,0.6868,0.9293215165194869,50,0.9
5,3,5,0.184,0.07560952320971215,0.1110213538357859,0.9861672520334201,6.3092,0.4988163589939689,Hybrid-Ensemble,0.9861672520334201,0.9512826100535138,0.9801187730325184,50,0.9
5,3,5,0.0665,0.037403876804416945,0.030752852910300266,0.9725304539114141,6.783499999999999,0.5497721800891711,Crowd-Ensemble,0.9725304539114141,0.9861672500747677,0.9746546380843218,50,0.9
