Nt,J,lr,loss_mean,loss_std,FPR,TPR,price_mean,price_std,alg,recall,precision,f_beta,tests_num,corr
5,3,5,0.17030000000000003,0.14615109761248232,0.0880347991072698,0.9471236332600903,0.0,0.0,Machines-Ensemble,0.9471236332600903,0.9611572821834758,0.9494060270695169,50,0.0
5,3,5,0.059466666666666675,0.02642313800861325,0.034553028427990996,0.9902354989147337,3.4359333333333337,0.5154218940721174,Hybrid-Ensemble,0.9902354989147337,0.9849457685261156,0.9893423077269572,50,0.0
5,3,5,0.07380000000000002,0.029492823985957442,0.038780477839135394,0.9794348598441148,6.798933333333333,0.39106478008409584,Crowd-Ensemble,0.9794348598441148,0.9828465968185417,0.9799396242737768,50,0.0
5,3,5,0.24301666666666666,0.17765260966904547,0.12977530451666977,0.9349081156709206,0.0,0.0,Machines-Ensemble,0.9349081156709206,0.9430205693783849,0.9362089532030881,50,0.1
5,3,5,0.0652,0.02773914201989672,0.03703131917477591,0.9871380696025907,3.5649333333333337,0.5226462432234212,Hybrid-Ensemble,0.9871380696025907,0.9839113838247721,0.9865869385886573,50,0.1
5,3,5,0.07498333333333332,0.026020179135090943,0.037459469550842533,0.9742685879943722,6.740883333333333,0.46043566657629337,Crowd-Ensemble,0.9742685879943722,0.9834877006569887,0.9757107604003931,50,0.1
5,3,5,0.3234888888888889,0.20152883689131298,0.17716992238479126,0.9259865588021302,0.0,0.0,Machines-Ensemble,0.9259865588021302,0.9226669456935294,0.9253404485204988,50,0.2
5,3,5,0.07046666666666668,0.02837338345860234,0.0380068916496553,0.9819828108356748,3.6509777777777774,0.5128308358248747,Hybrid-Ensemble,0.9819828108356748,0.9833071703541172,0.9821788032875138,50,0.2
5,3,5,0.07700000000000001,0.02910097363777828,0.038570431762078645,0.9742173083870305,6.723033333333333,0.49893892857186883,Crowd-Ensemble,0.9742173083870305,0.9828590306643865,0.9755719837718437,50,0.2
5,3,5,0.42692499999999994,0.263303917001501,0.23959877844294716,0.9175236760474568,0.0,0.0,Machines-Ensemble,0.9175236760474568,0.8979809734790792,0.9139516799663688,50,0.3
5,3,5,0.07450833333333334,0.0278824902741647,0.037549796821901946,0.975317262481033,3.7893250000000003,0.5511430570868149,Hybrid-Ensemble,0.975317262481033,0.9833279348954811,0.9766000863636164,50,0.3
5,3,5,0.07454166666666667,0.02940036729740331,0.03727775691861344,0.9750258597184372,6.7428,0.5058362976299743,Crowd-Ensemble,0.9750258597184372,0.9833723351806114,0.9763408772575253,50,0.3
5,3,5,0.5258466666666667,0.3114144877097974,0.3012330930605693,0.9114671668086457,0.0,0.0,Machines-Ensemble,0.9114671668086457,0.87533830411783,0.9048093995225687,50,0.4
5,3,5,0.08151333333333334,0.031908982364775525,0.038283383145566126,0.9669632571133383,3.959320000000001,0.6247041894102093,Hybrid-Ensemble,0.9669632571133383,0.9828178744615976,0.9694881465465016,50,0.4
5,3,5,0.07494666666666668,0.030596249588616068,0.03816104805296631,0.9763850551425405,6.757146666666666,0.5135126273899103,Crowd-Ensemble,0.9763850551425405,0.9830214128772976,0.9774269032887403,50,0.4
5,3,5,0.6118722222222223,0.3459331507444041,0.3568536257755297,0.908523184449008,0.0,0.0,Machines-Ensemble,0.908523184449008,0.856575821560449,0.8988010412673214,50,0.5
5,3,5,0.08876111111111111,0.03456320520902232,0.038413080802684234,0.9567228898649855,4.103761111111111,0.6775193016019616,Hybrid-Ensemble,0.9567228898649855,0.9826060001091477,0.9607891521188463,50,0.5
5,3,5,0.07413333333333334,0.030682133780643963,0.03788633697422057,0.9768771309143801,6.7669555555555565,0.5010993893677095,Crowd-Ensemble,0.9768771309143801,0.9831868871242722,0.9778653198814031,50,0.5
5,3,5,0.6934428571428571,0.3784961458839173,0.4077109504493758,0.907338732717015,0.0,0.0,Machines-Ensemble,0.907338732717015,0.8392235009821325,0.8943507785127769,50,0.6
5,3,5,0.09765238095238096,0.04090020513451432,0.03963983914089592,0.9468320644818645,4.283671428571429,0.7851908907380162,Hybrid-Ensemble,0.9468320644818645,0.9817256906050491,0.9522522993563988,50,0.6
5,3,5,0.0749952380952381,0.03073814097595358,0.038209408370953366,0.976530614549588,6.780266666666668,0.4879280346363867,Crowd-Ensemble,0.976530614549588,0.9829712889108645,0.9775358747303075,50,0.6
5,3,5,0.7618166666666667,0.39870957440500754,0.4519357802026543,0.9077278094652945,0.0,0.0,Machines-Ensemble,0.9077278094652945,0.8252393872206539,0.8917671522892481,50,0.7
5,3,5,0.10606666666666668,0.04645423076056211,0.0398437544698217,0.9352123257496644,4.439883333333333,0.8608829835633232,Hybrid-Ensemble,0.9352123257496644,0.981358877802896,0.9422337686887801,50,0.7
5,3,5,0.07459166666666667,0.030495626963367863,0.03784066074704787,0.9763779858488638,6.772845833333333,0.49086189204904895,Crowd-Ensemble,0.9763779858488638,0.9831094229512759,0.9774308724851549,50,0.7
5,3,5,0.8194185185185185,0.41120551637119546,0.49089556566036313,0.9087747909592432,0.0,0.0,Machines-Ensemble,0.9087747909592432,0.8138821463517317,0.8901993209939495,50,0.8
5,3,5,0.11491851851851852,0.05283167566300324,0.041233475705750096,0.925433783989779,4.589766666666667,0.934401873055898,Hybrid-Ensemble,0.925433783989779,0.9805556721121015,0.9336917671959624,50,0.8
5,3,5,0.07584074074074074,0.03201458879554131,0.03854478302665381,0.9759976615005407,6.752311111111111,0.49201744875211817,Crowd-Ensemble,0.9759976615005407,0.98284234445933,0.9770645474929501,50,0.8
