Nt,J,lr,loss_mean,loss_std,syn_votes_prop,price_mean,recall,precision,f_beta,f_beta_std,alg
1,3,5,0.265333333333,0.0128409068562,0.176666666667,6.3,0.819791666667,0.945884394072,0.838362908562,0.0176571808657,Baseline
1,3,5,0.284,0.0241660919472,0.176666666667,6.06375,0.824479166667,0.938998180228,0.841532907143,0.0137625997414,M-runs
1,3,5,0.13,0.0193218356616,0.27861645573,5.69975,0.875,0.982435632616,0.891112196183,0.026241311595,SM-runs
1,5,5,0.127,0.0257099202644,0.457,10.5,0.866666666667,0.985277318636,0.884218523543,0.0299895006672,Baseline
1,5,5,0.130666666667,0.0182452429112,0.457,10.269,0.873958333333,0.982417465892,0.890223354811,0.0247431476117,M-runs
1,5,5,0.08,0.0290975371237,0.329829064127,7.03395,0.875,1.0,0.893309399656,0.0397520898436,SM-runs
1,10,5,0.0343333333333,0.0183817542386,0.7285,21.0,0.946354166667,1.0,0.954773772236,0.0244423039217,Baseline
1,10,5,0.029,0.0151327459504,0.7285,20.4925,0.9546875,1.0,0.961872585572,0.0200611772075,M-runs
1,10,5,0.345666666667,0.260648976382,0.521828938268,9.73735,0.459895833333,1.0,0.474965131069,0.407904983328,SM-runs
2,3,5,0.229666666667,0.0158078742685,0.281666666667,6.6,0.797395833333,0.962254328741,0.820745181286,0.0219445926289,Baseline
2,3,5,0.212333333333,0.00955103252126,0.281666666667,6.4163,0.824479166667,0.963470369909,0.844758852981,0.0131300874322,M-runs
2,3,5,0.519666666667,0.18746525604,0.293461806756,3.24646666667,0.203645833333,0.996394498969,0.21381546822,0.328665527415,SM-runs
2,5,5,0.0816666666667,0.0171431878275,0.545,11.0,0.872395833333,1.0,0.891246493539,0.0232513062154,Baseline
2,5,5,0.114,0.0176257387552,0.545,10.7671666667,0.9,0.982919721247,0.912726541366,0.0236766635737,M-runs
2,5,5,0.331666666667,0.261062997931,0.455794784493,6.11123333333,0.4921875,0.997584975159,0.505547584881,0.420051440232,SM-runs
2,10,5,0.0266666666667,0.01490711985,0.7725,22.0,0.958333333333,1.0,0.964957842921,0.0197285332637,Baseline
2,10,5,0.022,0.0124899959968,0.7725,21.4646666667,0.965625,1.0,0.971135244876,0.0164640937014,M-runs
2,10,5,0.128,0.159403053087,0.508998234649,11.385,0.805208333333,0.998850574713,0.821222787493,0.251679272069,SM-runs
3,3,5,0.217666666667,0.0234781222039,0.345,6.9,0.816145833333,0.963052716773,0.837242169015,0.0324023250515,Baseline
3,3,5,0.190333333333,0.0319878449137,0.345,6.6884,0.845833333333,0.967211468244,0.863805535089,0.0239180829175,M-runs
3,3,5,0.089,0.0166032125405,0.418767377934,5.89681666667,0.8609375,1.0,0.881264704743,0.0226520280187,SM-runs
3,5,5,0.075,0.0160727512683,0.595,11.5,0.8828125,1.0,0.900305437793,0.021777837282,Baseline
3,5,5,0.102,0.0164113781668,0.595,11.2450833333,0.91875,0.98326483591,0.928815099063,0.0219516970377,M-runs
3,5,5,0.229333333333,0.252321664195,0.463423035933,7.11045,0.641666666667,1.0,0.654630769282,0.397699721275,SM-runs
3,10,5,0.0206666666667,0.0126315302143,0.7975,23.0,0.967708333333,1.0,0.97288964878,0.0166358774027,Baseline
3,10,5,0.0173333333333,0.0109341463112,0.7975,22.4441666667,0.972916666667,1.0,0.977287077764,0.0143829070562,M-runs
3,10,5,0.0596666666667,0.0122429117815,0.495425220588,12.2241166667,0.906770833333,1.0,0.921029401825,0.0164873150742,SM-runs
4,3,5,0.169333333333,0.0279205221218,0.54,7.2,0.813541666667,0.981100717884,0.837092960309,0.0388710668106,Baseline
4,3,5,0.178666666667,0.0356588776542,0.54,7.002,0.830208333333,0.974359414013,0.851056324197,0.0272253606629,M-runs
4,3,5,0.121,0.0974457113816,0.458271231703,5.716,0.813541666667,0.999358974359,0.835550608326,0.154116823033,SM-runs
4,5,5,0.0836666666667,0.0230193155608,0.724,12.0,0.869270833333,1.0,0.888440284999,0.0313718257387,Baseline
4,5,5,0.084,0.018,0.724,11.732,0.86875,1.0,0.888061173923,0.0245687025223,M-runs
4,5,5,0.104333333333,0.0285987567717,0.478827032023,7.1632,0.839583333333,0.999319727891,0.862374531544,0.0324689320469,SM-runs
4,10,5,0.0333333333333,0.0177638834593,0.862,24.0,0.947916666667,1.0,0.956107070664,0.0235922734568,Baseline
4,10,5,0.0323333333333,0.0166699996667,0.862,23.416,0.949479166667,1.0,0.957445068456,0.0220955475051,M-runs
4,10,5,0.0883333333333,0.012405196044,0.598157292386,11.0684,0.861979166667,1.0,0.882218549016,0.0169347306585,SM-runs
5,3,5,0.183333333333,0.0335989417823,0.558333333333,7.5,0.791666666667,0.980554312208,0.817508784373,0.0473988996682,Baseline
5,3,5,0.181,0.0346746785614,0.558333333333,7.3,0.81875,0.975771686204,0.841115482595,0.0327596559384,M-runs
5,3,5,0.298666666667,0.217604125778,0.553292727065,6.01291666667,0.5359375,0.999371069182,0.559207613325,0.349513695511,SM-runs
5,5,5,0.0916666666667,0.0314200926514,0.735,12.5,0.856770833333,1.0,0.87736249371,0.0430625636698,Baseline
5,5,5,0.079,0.0265015722804,0.735,12.2333333333,0.8765625,1.0,0.894721572889,0.0359303653981,M-runs
5,5,5,0.0966666666667,0.0181352940116,0.504576414853,8.72208333333,0.848958333333,1.0,0.870760664784,0.0249560666663,SM-runs
5,10,5,0.041,0.0221133443875,0.8675,25.0,0.9359375,1.0,0.945865744871,0.0296675532493,Baseline
5,10,5,0.0406666666667,0.0193103311439,0.8675,24.4208333333,0.936458333333,1.0,0.946350569517,0.0258280380233,M-runs
5,10,5,0.0973333333333,0.0208059820458,0.573180517775,12.5841666667,0.847916666667,1.0,0.869809092639,0.0285741616813,SM-runs
