Nt,J,lr,loss_mean,loss_std,FPR,TPR,price_mean,price_std,alg,recall,precision,f_beta,tests_num,corr
5,3,5,0.19879999999999998,0.16789727017832462,0.10311562537328872,0.9394199365947772,0.0,0.0,Machines-Ensemble,0.9394199365947772,0.9547127300277559,0.9418688898973417,50,0.0
5,3,5,0.049433333333333336,0.023711717684629166,0.0275436220040715,0.9890663168778886,3.1204666666666663,0.4915276684876334,Hybrid-Ensemble,0.9890663168778886,0.9880089244456899,0.988880741566856,50,0.0
5,3,5,0.0758,0.028675657504812917,0.03314157479549028,0.9638209400375622,6.390066666666667,0.58941377279086,Crowd-Ensemble,0.9638209400375622,0.9851188490356722,0.9671737137236182,50,0.0
5,3,5,0.25678333333333336,0.17210336929363768,0.13689626103186517,0.9329896803895387,0.0,0.0,Machines-Ensemble,0.9329896803895387,0.9394050168962805,0.9339944433670051,50,0.1
5,3,5,0.05390000000000001,0.02796944761699809,0.028970312066896067,0.9862088612976038,3.2155499999999995,0.5054767856522526,Hybrid-Ensemble,0.9862088612976038,0.9872358194835854,0.9863682538320362,50,0.1
5,3,5,0.07835,0.03594385668418643,0.03326028785312519,0.9602678424281201,6.247083333333333,0.6086294245178168,Crowd-Ensemble,0.9602678424281201,0.9850473462714727,0.9641249807825872,50,0.1
5,3,5,0.33286666666666664,0.20259769659763327,0.180989094760539,0.9232386559853846,0.0,0.0,Machines-Ensemble,0.9232386559853846,0.9203311212708701,0.9226582968048229,50,0.2
5,3,5,0.06079999999999999,0.029920338679010082,0.03117410939861295,0.9814234600552643,3.304033333333334,0.5644635693391657,Hybrid-Ensemble,0.9814234600552643,0.9860977618349689,0.9821835897193167,50,0.2
5,3,5,0.08188888888888889,0.04202127621004612,0.03545194314203549,0.9604106250969293,6.241888888888887,0.5899179876040105,Crowd-Ensemble,0.9604106250969293,0.9839895964870294,0.964018378908607,50,0.2
5,3,5,0.430675,0.253038869296794,0.24009758532548503,0.9158824649051324,0.0,0.0,Machines-Ensemble,0.9158824649051324,0.896709292468601,0.9123873072590485,50,0.3
5,3,5,0.06733333333333331,0.03064455724739532,0.031912166191500904,0.9738245640227717,3.4583250000000003,0.5991242381245591,Hybrid-Ensemble,0.9738245640227717,0.9855860171644827,0.9757130749574547,50,0.3
5,3,5,0.08395833333333333,0.04212845353466256,0.03700235704861258,0.9610363690530056,6.271733333333333,0.6040341289106841,Crowd-Ensemble,0.9610363690530056,0.9832089787762226,0.9644400499835915,50,0.3
5,3,5,0.52262,0.2944274595436596,0.2988914253053882,0.9110782637000572,0.0,0.0,Machines-Ensemble,0.9110782637000572,0.8757262951408018,0.9045888641488602,50,0.4
5,3,5,0.07347999999999999,0.031535740570554756,0.032338341727106146,0.9657760921622783,3.62176,0.6680421711239493,Hybrid-Ensemble,0.9657760921622783,0.9853260467255984,0.9688816742892137,50,0.4
5,3,5,0.08375333333333333,0.03995196059714161,0.03691299502481686,0.9609407715603991,6.280526666666666,0.5946470403711955,Crowd-Ensemble,0.9609407715603991,0.9833352254262183,0.9643679344269102,50,0.4
5,3,5,0.6167944444444444,0.3439371825271169,0.3579590292957749,0.90864818278388,0.0,0.0,Machines-Ensemble,0.90864818278388,0.8552202790095234,0.8986080020553354,50,0.5
5,3,5,0.08152222222222223,0.03549654999754758,0.032263143338373504,0.9540366738565609,3.7826944444444446,0.7279376278014043,Hybrid-Ensemble,0.9540366738565609,0.9851343747806668,0.9588815691671259,50,0.5
5,3,5,0.08312222222222224,0.039764397190836645,0.037032418361898765,0.9623402952725235,6.276538888888889,0.5881059557208386,Crowd-Ensemble,0.9623402952725235,0.9832627789627851,0.9655403367286334,50,0.5
5,3,5,0.6972571428571428,0.3756139109085647,0.4107656201481583,0.9078896017870174,0.0,0.0,Machines-Ensemble,0.9078896017870174,0.8384893440524325,0.8946304446227364,50,0.6
5,3,5,0.08850476190476192,0.039197454681582825,0.031748021043208195,0.9427911761579427,3.9940619047619044,0.8825104780039997,Hybrid-Ensemble,0.9427911761579427,0.9852284967215506,0.9492919962748583,50,0.6
5,3,5,0.08310000000000001,0.039178887657707155,0.0370787921754154,0.962257252524887,6.276119047619048,0.5778401328750001,Crowd-Ensemble,0.962257252524887,0.983307445529184,0.965474746652911,50,0.6
5,3,5,0.7671791666666666,0.3975366717666504,0.45558937235609637,0.9080502659437734,0.0,0.0,Machines-Ensemble,0.9080502659437734,0.8241985644149763,0.8918008346242142,50,0.7
5,3,5,0.09824166666666666,0.047161512527577915,0.03230840117677996,0.9300123388143877,4.170791666666667,0.9673860690526933,Hybrid-Ensemble,0.9300123388143877,0.9847093328729609,0.93821803240189,50,0.7
5,3,5,0.08399583333333333,0.04047524942445966,0.037090511789624504,0.9609606903903068,6.264433333333333,0.5885616256792675,Crowd-Ensemble,0.9609606903903068,0.9832907831150096,0.9643427660489062,50,0.7
5,3,5,0.827262962962963,0.41260661172073493,0.4945974491513794,0.9092227213994908,0.0,0.0,Machines-Ensemble,0.9092227213994908,0.8122805820795594,0.8901896258119576,50,0.8
5,3,5,0.10774814814814815,0.05507896264637048,0.033544217281657886,0.9190564336115754,4.344537037037036,1.0670424114755312,Hybrid-Ensemble,0.9190564336115754,0.98383110037245,0.928647973359131,50,0.8
5,3,5,0.08390740740740742,0.04107403817251211,0.03637373582885632,0.9595898531096909,6.27337037037037,0.576671236214917,Crowd-Ensemble,0.9595898531096909,0.9835455797907606,0.9632251982496642,50,0.8
