Nt,J,lr,loss_mean,loss_std,syn_votes_prop,price_mean,recall,precision,f_beta,f_beta_std,alg
1,3,5,0.382666666667,0.0106249183003,0.09,9.45,0.902745098039,0.927465881227,0.906752908483,0.0106573153926,Baseline
1,3,5,0.381666666667,0.00636832439151,0.09,6.50055,0.903921568627,0.927561114323,0.90777013609,0.00638458152449,M-runs
1,3,5,0.359666666667,0.00706320670014,0.24515009996,9.1098,0.929803921569,0.929434564523,0.929733429556,0.00702204683775,SM-runs
1,5,5,0.322,0.0155777619274,0.270666666667,15.75,0.915294117647,0.939591817946,0.919211622166,0.0156238145144,Baseline
1,5,5,0.334333333333,0.00919540948276,0.270666666667,10.80975,0.900784313725,0.93869265076,0.90687273316,0.00924644906673,M-runs
1,5,5,0.32,0.00930949336251,0.314361008003,13.8873,0.917647058824,0.939751413276,0.92124277076,0.00931572534442,SM-runs
1,10,5,0.192333333333,0.014985177862,0.538333333333,31.5,0.950196078431,0.964174647692,0.952455647957,0.0148913638056,Baseline
1,10,5,0.181666666667,0.028057480682,0.538333333333,21.3605,0.93137254902,0.969814764849,0.937525294501,0.0136751591291,M-runs
1,10,5,0.227666666667,0.0168687745718,0.44266480386,20.47395,0.90862745098,0.962592399808,0.91714324914,0.0169895235925,SM-runs
2,3,5,0.47,0.0169312334656,0.18,9.9,0.913725490196,0.907312781301,0.912638141475,0.00878908479925,Baseline
2,3,5,0.464666666667,0.0260426999795,0.18,6.8024,0.906274509804,0.909134727549,0.906731376594,0.00993936510273,M-runs
2,3,5,0.445333333333,0.0244585817705,0.20947119602,7.19033333333,0.929019607843,0.911170251095,0.925975122781,0.00975289894848,SM-runs
2,5,5,0.223333333333,0.0161932770687,0.393333333333,16.5,0.913725490196,0.962794690413,0.921503499324,0.016301488775,Baseline
2,5,5,0.224,0.0209125161885,0.393333333333,11.242,0.912941176471,0.962753375476,0.920798819007,0.0210964564274,M-runs
2,5,5,0.200333333333,0.0155955834204,0.361090218732,10.8463666667,0.940784313725,0.96382800028,0.944502444071,0.0155440997265,SM-runs
2,10,5,0.075,0.023769728648,0.669333333333,33.0,0.911764705882,1.0,0.925259463844,0.0240306998991,Baseline
2,10,5,0.0853333333333,0.0206128331117,0.669333333333,22.341,0.899607843137,1.0,0.914830380063,0.0208895612158,M-runs
2,10,5,0.0756666666667,0.0243150616331,0.596163608043,19.3996,0.910980392157,1.0,0.924580606773,0.0246292101111,SM-runs
3,3,5,0.251333333333,0.0170749979665,0.405555555556,10.35,0.880784313725,0.961453779394,0.893219520952,0.0173804222264,Baseline
3,3,5,0.258,0.0346794848097,0.405555555556,7.08515,0.837647058824,0.967422237753,0.856712741675,0.0212586304988,M-runs
3,3,5,0.211,0.0276103845198,0.395128709668,8.37085,0.892941176471,0.969433401751,0.904762883801,0.017420598287,SM-runs
3,5,5,0.106666666667,0.03279566367,0.613333333333,17.25,0.894117647059,0.995740290133,0.909368370914,0.0315346831775,Baseline
3,5,5,0.128666666667,0.0261703819019,0.613333333333,11.7721666667,0.883921568627,0.992254512362,0.90007524293,0.0307167010324,M-runs
3,5,5,0.100666666667,0.0254209012866,0.534452413208,11.9416,0.916862745098,0.992488300548,0.92849795904,0.0253177279364,SM-runs
3,10,5,0.0556666666667,0.0213983384609,0.805333333333,34.5,0.934509803922,1.0,0.944731506399,0.0214678989139,Baseline
3,10,5,0.072,0.0221208800307,0.805333333333,23.3565,0.915294117647,1.0,0.928302719073,0.022328836241,M-runs
3,10,5,0.0686666666667,0.0220201927532,0.709445353098,20.3205,0.919215686275,1.0,0.931663831673,0.0221938935009,SM-runs
4,3,5,0.202666666667,0.0250244325055,0.535555555556,10.8,0.877254901961,0.974285954879,0.891949128586,0.0242654797525,Baseline
4,3,5,0.196,0.029280255008,0.535555555556,7.4184,0.857647058824,0.979937996276,0.875703822846,0.0265492327522,M-runs
4,3,5,0.149333333333,0.0263227826965,0.477536425556,8.6348,0.912549019608,0.981105699045,0.923209325701,0.019505954369,SM-runs
4,5,5,0.0913333333333,0.0346153466287,0.714,18.0,0.912156862745,0.995722773974,0.925006511697,0.0219390863628,Baseline
4,5,5,0.116333333333,0.0282233158143,0.714,12.272,0.894509803922,0.993141203026,0.909424436877,0.0244048321705,M-runs
4,5,5,0.0846666666667,0.0321178385879,0.583718137404,14.036,0.931764705882,0.993351066315,0.941401141836,0.020922082699,SM-runs
4,10,5,0.048,0.0190438091428,0.856666666667,36.0,0.943529411765,1.0,0.952422172011,0.0190713538812,Baseline
4,10,5,0.0646666666667,0.0206128331117,0.856666666667,24.38,0.923921568627,1.0,0.935702115562,0.0207614832452,M-runs
4,10,5,0.051,0.0151327459504,0.688910816911,23.7756,0.94,1.0,0.949449563235,0.0151431111352,SM-runs
5,3,5,0.061,0.0262488094968,0.637777777778,11.25,0.928235294118,1.0,0.939334549578,0.0264097199267,Baseline
5,3,5,0.107333333333,0.031615748537,0.637777777778,7.715,0.897254901961,0.994876102197,0.912000656745,0.0277587973019,M-runs
5,3,5,0.0756666666667,0.0285987567717,0.515467817025,9.10958333333,0.952156862745,0.991453390292,0.958424290892,0.0174995531273,SM-runs
5,5,5,0.0393333333333,0.0206451500896,0.782666666667,18.75,0.953725490196,1.0,0.961054132973,0.0206047680163,Baseline
5,5,5,0.062,0.020231987874,0.782666666667,12.8208333333,0.927058823529,1.0,0.938386000694,0.0203308380926,M-runs
5,5,5,0.0373333333333,0.015260697523,0.619034167005,13.7879166667,0.956078431373,1.0,0.963082806265,0.0152537229273,SM-runs
5,10,5,0.0206666666667,0.0123648246607,0.891333333333,37.5,0.97568627451,1.0,0.979626303981,0.0122493600478,Baseline
5,10,5,0.0313333333333,0.0145449494862,0.891333333333,25.4208333333,0.963137254902,1.0,0.969049631906,0.0144678236346,M-runs
5,10,5,0.027,0.0126885775404,0.728936261692,23.6591666667,0.968235294118,1.0,0.973357035246,0.012590922131,SM-runs
